"concat","member_casual","rideable_type","day_of_week","ride_length","count"
"2021-6","casual","classic_bike","Friday",794982.13333333333333333333,26117
"2021-6","casual","classic_bike","Monday",487527.43333333333333333333,16594
"2021-6","casual","classic_bike","Saturday",1326308.93333333333333333333,41312
"2021-6","casual","classic_bike","Sunday",1290961.90000000000000000000,38006
"2021-6","casual","classic_bike","Thursday",584489.23333333333333333333,19800
"2021-6","casual","classic_bike","Tuesday",655153.63333333333333333333,22737
"2021-6","casual","classic_bike","Wednesday",658318.66666666666666666667,23679
"2021-6","casual","docked_bike","Friday",722756.75000000000000000000,7459
"2021-6","casual","docked_bike","Monday",298091.30000000000000000000,4637
"2021-6","casual","docked_bike","Saturday",1285357.78333333333333333333,11239
"2021-6","casual","docked_bike","Sunday",1126471.03333333333333333333,10968
"2021-6","casual","docked_bike","Thursday",523085.11666666666666666667,5136
"2021-6","casual","docked_bike","Tuesday",552148.96666666666666666667,6373
"2021-6","casual","docked_bike","Wednesday",626923.18333333333333333333,5904
"2021-6","casual","electric_bike","Friday",403426.40000000000000000000,19199
"2021-6","casual","electric_bike","Monday",290792.93333333333333333333,13850
"2021-6","casual","electric_bike","Saturday",522742.95000000000000000000,23179
"2021-6","casual","electric_bike","Sunday",485850.23333333333333333333,19954
"2021-6","casual","electric_bike","Thursday",338972.15000000000000000000,16485
"2021-6","casual","electric_bike","Tuesday",395622.98333333333333333333,18963
"2021-6","casual","electric_bike","Wednesday",390232.13333333333333333333,19090
"2021-6","member","classic_bike","Friday",479294.41666666666666666667,32120
"2021-6","member","classic_bike","Monday",416501.63333333333333333333,30158
"2021-6","member","classic_bike","Saturday",529517.75000000000000000000,32157
"2021-6","member","classic_bike","Sunday",546164.78333333333333333333,32042
"2021-6","member","classic_bike","Thursday",484734.96666666666666666667,33362
"2021-6","member","classic_bike","Tuesday",620986.25000000000000000000,42268
"2021-6","member","classic_bike","Wednesday",638903.83333333333333333333,44668
"2021-6","member","electric_bike","Friday",217297.90000000000000000000,15747
"2021-6","member","electric_bike","Monday",178279.45000000000000000000,13704
"2021-6","member","electric_bike","Saturday",220425.06666666666666666667,14424
"2021-6","member","electric_bike","Sunday",202582.53333333333333333333,12787
"2021-6","member","electric_bike","Thursday",211890.16666666666666666667,16013
"2021-6","member","electric_bike","Tuesday",255091.58333333333333333333,19279
"2021-6","member","electric_bike","Wednesday",266402.73333333333333333333,20185
